Link,FileName
https://www.upes.ac.in/faculty/school-of-advanced-engineering/applied-science/ravi-kiran-maddali,www.upes.ac.in_faculty_school-of-advanced-engineering_applied-science_ravi-kiran-maddali.txt
https://www.upes.ac.in/alumni-achievements/ruchi-bajpai,www.upes.ac.in_alumni-achievements_ruchi-bajpai.txt
https://www.upes.ac.in/school-of-business/bcom-hons/banking-and-insurance,www.upes.ac.in_school-of-business_bcom-hons_banking-and-insurance.txt
https://www.upes.ac.in/faculty/school-of-computer-science/vidyanand-mishra,www.upes.ac.in_faculty_school-of-computer-science_vidyanand-mishra.txt
https://www.upes.ac.in/faculty/school-of-design/milly-singh,www.upes.ac.in_faculty_school-of-design_milly-singh.txt
https://www.upes.ac.in/faculty/school-of-computer-science/yeshwant-singh,www.upes.ac.in_faculty_school-of-computer-science_yeshwant-singh.txt
https://www.upes.ac.in/faculty/school-of-law/mehreen-manzoor,www.upes.ac.in_faculty_school-of-law_mehreen-manzoor.txt
https://www.upes.ac.in/student-project/rahul-gusain-vaishnav-balodhi-devyansh-samyal-mayank-verma-na,www.upes.ac.in_student-project_rahul-gusain-vaishnav-balodhi-devyansh-samyal-mayank-verma-na.txt
https://www.upes.ac.in/faculty/school-of-advanced-engineering/applied-science/dr-tanuj-kumar,www.upes.ac.in_faculty_school-of-advanced-engineering_applied-science_dr-tanuj-kumar.txt
https://www.upes.ac.in/faculty/school-of-design/dr-samrat-dev,www.upes.ac.in_faculty_school-of-design_dr-samrat-dev.txt
https://www.upes.ac.in/social-impact,www.upes.ac.in_social-impact.txt
https://www.upes.ac.in/school-of-health-sciences-and-technology/msc-health-sciences/microbiology,www.upes.ac.in_school-of-health-sciences-and-technology_msc-health-sciences_microbiology.txt
https://www.upes.ac.in/faculty/school-of-health-sciences-and-technology/mitali-madhumita,www.upes.ac.in_faculty_school-of-health-sciences-and-technology_mitali-madhumita.txt
https://www.upes.ac.in/alumni-achievements/aditya-raj,www.upes.ac.in_alumni-achievements_aditya-raj.txt
https://www.upes.ac.in/faculty/school-of-computer-science/manish-kumar-pandey,www.upes.ac.in_faculty_school-of-computer-science_manish-kumar-pandey.txt
https://www.upes.ac.in/admissions/postgraduate-courses,www.upes.ac.in_admissions_postgraduate-courses.txt
https://www.upes.ac.in/school-of-design/phd,www.upes.ac.in_school-of-design_phd.txt
https://www.upes.ac.in/faculty/school-of-computer-science/dr-archana-kumari,www.upes.ac.in_faculty_school-of-computer-science_dr-archana-kumari.txt
https://www.upes.ac.in/event/icmlde,www.upes.ac.in_event_icmlde.txt
https://www.upes.ac.in/faculty/school-of-advanced-engineering/electrical/dr-rupendra-kumar-pachauri,www.upes.ac.in_faculty_school-of-advanced-engineering_electrical_dr-rupendra-kumar-pachauri.txt
https://www.upes.ac.in/student-space/student-engagement,www.upes.ac.in_student-space_student-engagement.txt
https://www.upes.ac.in/faculty/school-of-law/yatish-pachouri,www.upes.ac.in_faculty_school-of-law_yatish-pachouri.txt
https://www.upes.ac.in/social-impact/shaheed-memorial-cricket-tournament,www.upes.ac.in_social-impact_shaheed-memorial-cricket-tournament.txt
https://www.upes.ac.in/faculty/school-of-computer-science/dr-aviral-sharma,www.upes.ac.in_faculty_school-of-computer-science_dr-aviral-sharma.txt
https://www.upes.ac.in/school-of-advanced-engineering/mtech/chemical-engineering,www.upes.ac.in_school-of-advanced-engineering_mtech_chemical-engineering.txt
https://www.upes.ac.in/school-of-business/mba/metaverse-and-web-30,www.upes.ac.in_school-of-business_mba_metaverse-and-web-30.txt
https://www.upes.ac.in/blog/advanced-engineering/scope-of-aerospace-engineering,www.upes.ac.in_blog_advanced-engineering_scope-of-aerospace-engineering.txt
https://www.upes.ac.in/blog/law/how-ai-and-ml-are-transforming-the-legal-profession,www.upes.ac.in_blog_law_how-ai-and-ml-are-transforming-the-legal-profession.txt
https://www.upes.ac.in/school-of-law/llm/cyber-security-and-digital-law,www.upes.ac.in_school-of-law_llm_cyber-security-and-digital-law.txt
https://www.upes.ac.in/faculty/school-of-liberal-studies/yamini-negi,www.upes.ac.in_faculty_school-of-liberal-studies_yamini-negi.txt
https://www.upes.ac.in/faculty/school-of-computer-science/dr-ram-kumar,www.upes.ac.in_faculty_school-of-computer-science_dr-ram-kumar.txt
https://www.upes.ac.in/professors-of-practice/rajdeep-choudhury,www.upes.ac.in_professors-of-practice_rajdeep-choudhury.txt
